ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status
5849,0,0,360,Yes,1
4583,1508,128,360,Yes,0
3000,0,66,360,Yes,1
2583,2358,120,360,Yes,1
6000,0,141,360,Yes,1
5417,4196,267,360,Yes,1
2333,1516,95,360,Yes,1
3036,2504,158,360,No,0
4006,1526,168,360,Yes,1
12841,10968,349,360,Yes,0
3200,700,70,360,Yes,1
2500,1840,109,360,Yes,1
3073,8106,200,360,Yes,1
1853,2840,114,360,Yes,0
1299,1086,,120,Yes,1
4950,0,125,360,Yes,1
3596,0,100,240,No,1
3510,0,76,360,No,0
4887,0,133,360,Yes,0
2600,3500,115,0,Yes,1
7660,0,104,360,No,0
5955,5625,315,360,Yes,1
2600,1911,116,360,No,0
3365,1917,112,360,No,0
3717,2925,151,360,No,0
9560,0,191,360,Yes,1
2799,2253,122,360,Yes,1
4226,1040,110,360,Yes,1
1442,0,35,360,Yes,0
3750,2083,120,360,Yes,1
4166,3369,201,360,No,0
3167,0,74,360,Yes,0
4692,0,106,360,Yes,0
3500,1667,114,360,Yes,1
12500,3000,320,360,Yes,0
2275,2067,0,360,Yes,1
1828,1330,100,0,No,0
3667,1459,144,360,Yes,1
4166,7210,184,360,Yes,1
3748,1668,110,360,Yes,1
3600,0,80,360,Yes,0
1800,1213,47,360,Yes,1
2400,0,75,360,No,1
3941,2336,134,360,Yes,1
4695,0,96,0,Yes,1
3410,0,88,0,Yes,1
5649,0,44,360,Yes,1
5821,0,144,360,Yes,1
2645,3440,120,360,No,0
4000,2275,144,360,Yes,1
1928,1644,100,360,Yes,1
3086,0,,360,Yes,1
4230,0,112,360,Yes,0
4616,0,134,360,Yes,0
11500,0,286,360,No,0
2708,1167,97,360,Yes,1
2132,1591,96,360,Yes,1
3366,2200,135,360,Yes,0
8080,2250,180,360,Yes,1
3357,2859,144,360,Yes,1
2500,3796,120,360,Yes,1
3029,0,99,360,Yes,1
2609,3449,165,180,No,0
4945,0,0,360,No,0
4166,0,116,360,No,0
5726,4595,258,360,Yes,0
3200,2254,126,180,No,0
10750,0,312,360,Yes,1
7100,0,125,60,Yes,1
4300,0,136,360,No,0
3208,3066,172,360,Yes,1
1875,1875,97,360,Yes,1
3500,0,81,300,Yes,1
4755,0,95,0,No,0
5266,1774,187,360,Yes,1
3750,0,113,480,Yes,0
3750,4750,176,360,Yes,0
1000,3022,110,360,Yes,0
3167,4000,180,300,No,0
3333,2166,130,360,No,1
3846,0,111,360,Yes,1
2395,0,0,360,Yes,1
1378,1881,167,360,Yes,0
6000,2250,265,360,No,0
3988,0,50,240,Yes,1
2366,2531,136,360,Yes,1
3333,2000,99,360,No,1
2500,2118,104,360,Yes,1
8566,0,210,360,Yes,1
5695,4167,175,360,Yes,1
2958,2900,131,360,Yes,1
6250,5654,188,180,Yes,1
3273,1820,81,360,Yes,1
4133,0,122,360,Yes,1
3620,0,25,120,Yes,1
6782,0,0,360,No,0
2484,2302,,360,Yes,1
1977,997,50,360,Yes,1
4188,0,115,180,Yes,1
1759,3541,131,360,Yes,1
4288,3263,133,180,Yes,1
4843,3806,151,360,Yes,1
13650,0,0,360,Yes,1
4652,3583,0,360,Yes,1
3816,754,160,360,Yes,1
3052,1030,100,360,Yes,1
11417,1126,225,360,Yes,1
7333,0,120,360,Yes,0
3800,3600,216,360,No,0
2071,754,94,480,Yes,1
5316,0,136,360,Yes,1
2929,2333,139,360,Yes,1
3572,4114,152,0,No,0
7451,0,0,360,Yes,1
5050,0,118,360,Yes,1
14583,0,185,180,Yes,1
3167,2283,154,360,Yes,1
2214,1398,85,360,No,1
5568,2142,175,360,Yes,0
10408,0,259,360,Yes,1
5667,2667,180,360,Yes,1
4166,0,44,360,Yes,1
2137,8980,137,360,No,1
2957,0,81,360,Yes,1
4300,2014,194,360,Yes,1
3692,0,93,360,No,1
23803,0,370,360,Yes,1
3865,1640,0,360,Yes,1
10513,3850,160,180,No,0
6080,2569,182,360,No,0
20166,0,650,480,No,1
2014,1929,74,360,Yes,1
2718,0,70,360,Yes,1
3459,0,25,120,Yes,1
4895,0,102,360,Yes,1
4000,7750,290,360,Yes,0
4583,0,84,360,Yes,0
3316,3500,88,360,Yes,1
14999,0,242,360,No,0
4200,1430,129,360,Yes,0
5042,2083,185,360,Yes,0
5417,0,168,360,Yes,1
6950,0,175,180,Yes,1
2698,2034,122,360,Yes,1
11757,0,187,180,Yes,1
2330,4486,100,360,Yes,1
14866,0,70,360,Yes,1
1538,1425,30,360,Yes,1
10000,1666,225,360,Yes,0
4860,830,125,360,Yes,1
6277,0,118,360,No,0
2577,3750,152,360,Yes,1
9166,0,244,360,Yes,0
2281,0,113,360,Yes,0
3254,0,50,360,Yes,1
39999,0,600,180,No,1
6000,0,160,360,No,1
9538,0,187,360,Yes,1
2980,2083,120,360,Yes,1
4583,5625,255,360,Yes,1
1863,1041,98,360,Yes,1
7933,0,275,360,Yes,0
3089,1280,121,360,No,0
4167,1447,158,360,Yes,1
9323,0,75,180,Yes,1
3707,3166,182,0,Yes,1
4583,0,112,360,Yes,0
2439,3333,129,360,Yes,1
2237,0,63,480,No,0
8000,0,200,360,Yes,1
1820,1769,95,360,Yes,1
51763,0,700,300,Yes,1
3522,0,81,180,Yes,0
5708,5625,187,360,Yes,1
4344,736,87,360,Yes,0
3497,1964,116,360,Yes,1
2045,1619,101,360,Yes,1
5516,11300,495,360,No,0
3750,0,116,360,Yes,1
2333,1451,102,480,No,0
6400,7250,180,360,No,0
1916,5063,67,360,No,0
4600,0,73,180,Yes,1
33846,0,260,360,Yes,0
3625,0,108,360,Yes,1
39147,4750,120,360,Yes,1
2178,0,66,300,No,0
2383,2138,58,360,No,1
674,5296,168,360,Yes,1
9328,0,188,180,Yes,1
4885,0,48,360,Yes,1
12000,0,164,360,Yes,0
6033,0,160,360,Yes,0
3858,0,76,360,Yes,1
4191,0,120,360,Yes,1
3125,2583,170,360,Yes,0
8333,3750,187,360,Yes,1
1907,2365,120,0,Yes,1
3416,2816,113,360,No,1
11000,0,83,360,Yes,0
2600,2500,90,360,Yes,1
4923,0,166,360,No,1
3992,0,0,180,Yes,0
3500,1083,135,360,Yes,1
3917,0,124,360,Yes,1
4408,0,120,360,Yes,1
3244,0,80,360,Yes,1
3975,2531,55,360,Yes,1
2479,0,59,360,Yes,1
3418,0,127,360,Yes,0
10000,0,214,360,Yes,0
3430,1250,128,360,No,0
7787,0,240,360,Yes,1
5703,0,130,360,Yes,1
3173,3021,137,360,Yes,1
3850,983,100,360,Yes,1
150,1800,135,360,Yes,0
3727,1775,131,360,Yes,1
5000,0,72,360,No,0
4283,2383,127,360,No,1
2221,0,60,360,No,0
4009,1717,116,360,Yes,1
2971,2791,144,360,Yes,1
,1010,175,0,Yes,1
6250,0,128,360,Yes,1
3250,0,170,360,Yes,0
4735,0,138,360,Yes,0
6250,1695,210,360,Yes,1
4758,0,158,480,Yes,1
6400,0,200,360,Yes,1
2491,2054,104,360,Yes,1
3716,0,42,180,Yes,1
3189,2598,120,0,Yes,1
8333,0,280,360,Yes,1
3155,1779,140,360,Yes,1
5500,1260,170,360,Yes,1
5746,0,255,360,No,0
3463,0,122,360,No,1
3812,0,112,360,Yes,1
3315,0,96,360,Yes,1
5819,5000,120,360,Yes,1
2510,1983,140,180,Yes,0
2965,5701,155,60,Yes,1
6250,1300,108,360,Yes,1
3406,4417,123,360,Yes,1
6050,4333,120,180,Yes,0
9703,0,112,360,Yes,1
6608,0,137,180,Yes,1
2882,1843,123,480,Yes,1
,1868,90,360,Yes,1
1668,3890,201,,No,0
3427,0,138,360,Yes,0
2583,2167,104,360,Yes,1
2661,7101,279,180,Yes,1
16250,0,192,360,No,0
3083,0,255,360,Yes,1
6045,0,115,360,No,0
5250,0,94,360,Yes,0
14683,2100,304,360,Yes,0
4931,0,128,360,No,0
6083,4250,330,360,No,1
2060,2209,134,360,Yes,1
3481,0,155,36,Yes,0
7200,0,120,360,Yes,1
5166,0,128,360,Yes,1
4095,3447,151,360,Yes,1
4708,1387,150,360,Yes,1
4333,1811,160,360,No,1
3418,0,135,360,Yes,0
2876,1560,90,360,Yes,1
3237,0,30,360,Yes,1
11146,0,136,360,Yes,1
2833,1857,126,360,Yes,1
2620,2223,150,360,Yes,1
3900,0,90,360,Yes,1
2750,1842,115,360,Yes,1
3993,3274,207,360,Yes,1
3103,1300,80,360,Yes,1
14583,0,436,360,Yes,1
4100,0,124,360,No,1
4053,2426,158,360,No,0
3927,800,112,360,Yes,1
2301,985.7999878,78,,Yes,1
1811,1666,54,360,Yes,1
20667,0,0,360,Yes,0
3158,3053,89,360,Yes,1
2600,1717,99,300,Yes,0
3704,2000,120,360,Yes,1
4124,0,115,360,Yes,1
9508,0,187,360,Yes,1
3075,2416,139,360,Yes,1
4400,0,127,360,No,0
3153,1560,134,360,Yes,1
5417,0,143,480,No,0
2383,3334,172,360,Yes,1
4416,1250,110,360,Yes,1
6875,0,200,360,Yes,1
4666,0,135,360,Yes,1
5000,2541,151,480,Yes,0
2014,2925,113,360,Yes,0
1800,2934,93,360,No,0
2875,1750,105,360,Yes,1
5000,0,132,360,Yes,1
1625,1803,96,360,Yes,1
4000,2500,140,360,Yes,1
2000,0,0,360,Yes,0
3762,1666,135,360,Yes,1
2400,1863,104,360,No,0
20233,0,480,360,Yes,0
7667,0,185,360,No,1
2917,0,84,360,Yes,1
2927,2405,111,360,Yes,1
2507,0,56,360,Yes,1
5746,0,144,84,No,1
2473,,159,360,Yes,0
3399,,111,180,Yes,1
3717,0,120,360,Yes,1
2058,2134,88,360,No,1
3541,0,112,360,No,1
10000,0,155,360,Yes,0
2400,2167,115,360,Yes,1
4342,189,124,360,Yes,1
3601,1590,0,360,Yes,1
3166,2985,132,360,No,1
15000,0,300,360,Yes,1
8666,4983,376,360,No,0
4917,0,130,360,No,1
5818,2160,184,360,Yes,1
4333,2451,110,360,Yes,0
2500,0,67,360,Yes,1
4384,1793,117,360,Yes,1
2935,0,98,360,Yes,1
2833,0,71,360,Yes,1
63337,0,490,180,Yes,1
9833,1833,182,180,Yes,1
5503,4490,70,0,Yes,1
5250,688,160,360,Yes,1
2500,4600,176,360,Yes,1
1830,0,0,360,No,0
4160,0,71,360,Yes,1
2647,1587,173,360,Yes,0
2378,0,46,360,Yes,0
4554,1229,158,360,Yes,1
3173,0,74,360,Yes,1
2583,2330,125,360,Yes,1
2499,2458,160,360,Yes,1
3523,3230,152,360,No,0
3083,2168,126,360,Yes,1
6333,4583,259,360,No,1
2625,6250,187,360,Yes,1
9083,0,228,360,Yes,1
8750,4167,308,360,Yes,0
2666,2083,95,360,Yes,1
5500,0,105,360,No,0
2423,505,130,360,Yes,1
3813,0,116,180,Yes,1
8333,3167,165,360,Yes,1
3875,0,67,360,Yes,0
3000,1666,100,480,No,0
5167,3167,200,360,Yes,1
4723,0,81,360,Yes,0
5000,3667,236,360,Yes,1
4750,2333,130,360,Yes,1
3013,3033,95,300,No,1
6822,0,141,360,Yes,1
6216,0,133,360,Yes,0
2500,0,96,480,Yes,0
5124,0,124,0,No,0
6325,0,175,360,Yes,1
19730,5266,570,360,Yes,0
15759,0,55,360,Yes,1
5185,0,155,360,Yes,1
9323,7873,380,300,Yes,1
3062,1987,111,180,No,0
2764,1459,110,360,Yes,1
4817,923,120,180,Yes,1
8750,4996,130,360,Yes,1
4310,0,130,360,No,1
3069,0,71,480,Yes,0
5391,0,130,360,Yes,1
3333,2500,128,360,Yes,1
5941,4232,296,360,Yes,1
6000,0,156,360,Yes,1
7167,0,128,360,Yes,1
4566,0,100,360,Yes,0
3667,0,113,180,Yes,1
2346,1600,132,360,Yes,1
3010,3136,0,360,No,0
2333,2417,136,360,Yes,1
5488,0,125,360,Yes,1
9167,0,185,360,Yes,1
9504,0,275,360,Yes,1
2583,2115,120,360,No,1
1993,1625,113,180,Yes,1
3100,1400,113,360,Yes,1
3276,484,135,360,No,1
3180,0,71,360,No,0
3033,1459,95,360,Yes,1
3902,1666,109,360,Yes,1
1500,1800,103,360,No,0
2889,0,45,180,No,0
2755,0,65,300,Yes,0
2500,20000,103,360,Yes,1
1963,0,53,360,Yes,1
7441,0,194,360,Yes,0
4547,0,115,360,Yes,1
2167,2400,115,360,Yes,1
2213,0,66,360,Yes,1
8300,0,152,300,No,0
81000,0,360,360,No,0
3867,0,62,360,Yes,0
6256,0,160,360,No,1
6096,0,218,360,No,0
2253,2033,110,360,Yes,1
2149,3237,178,360,No,0
2995,0,60,360,Yes,1
2600,0,160,360,Yes,0
1600,20000,239,360,Yes,0
1025,2773,112,360,Yes,1
3246,1417,138,360,Yes,1
5829,0,138,360,Yes,1
2720,0,80,0,No,0
1820,1719,100,360,Yes,1
7250,1667,110,0,No,0
14880,0,96,360,Yes,1
2666,4300,121,360,Yes,1
4606,0,81,360,Yes,0
5935,0,133,360,Yes,1
2920,16.12000084,87,360,Yes,1
2717,0,60,180,Yes,1
8624,0,150,360,Yes,1
6500,0,105,360,No,0
12876,0,405,360,Yes,1
2425,2340,143,360,Yes,1
3750,0,100,360,Yes,1
10047,0,0,240,Yes,1
1926,1851,50,360,Yes,1
2213,1125,0,360,Yes,1
10416,0,187,360,No,0
7142,0,138,360,Yes,1
3660,5064,187,360,Yes,1
7901,1833,180,360,Yes,1
4707,1993,148,360,Yes,1
37719,0,152,360,Yes,1
7333,8333,175,300,No,1
3466,1210,130,360,Yes,1
4652,0,110,360,Yes,1
3539,1376,55,360,Yes,0
3340,1710,150,360,No,0
2769,1542,190,360,No,0
2309,1255,125,360,No,0
1958,1456,60,300,No,1
3948,1733,149,360,No,0
2483,2466,90,180,No,1
7085,0,84,360,Yes,1
3859,0,96,360,Yes,1
4301,0,118,360,Yes,1
3708,2569,173,360,Yes,0
4354,0,136,360,Yes,1
8334,0,160,360,Yes,0
2083,4083,160,360,No,1
7740,0,128,180,Yes,1
3015,2188,153,360,Yes,1
5191,0,132,360,Yes,1
4166,0,98,360,No,0
6000,0,140,360,Yes,1
2947,1664,70,180,No,0
16692,0,110,360,Yes,1
210,2917,98,360,Yes,1
4333,2451,110,360,Yes,0
3450,2079,162,360,Yes,1
2653,1500,113,180,No,0
4691,0,100,360,Yes,1
2500,0,93,360,No,1
5532,4648,162,360,Yes,1
16525,1014,150,360,Yes,1
6700,1750,230,300,Yes,1
2873,1872,132,360,No,0
16667,2250,86,360,Yes,1
2947,1603,0,360,Yes,0
4350,0,154,360,Yes,1
3095,0,113,360,Yes,1
2083,3150,128,360,Yes,1
10833,0,234,360,Yes,1
8333,0,246,360,Yes,1
1958,2436,131,360,Yes,1
3547,0,80,360,No,0
18333,0,500,360,Yes,0
4583,2083,160,360,Yes,1
2435,0,75,360,Yes,0
2699,2785,96,360,No,1
5333,1131,186,360,No,1
3691,0,110,360,Yes,1
17263,0,225,360,Yes,1
3597,2157,119,360,No,0
3326,913,105,84,Yes,1
2600,1700,107,360,Yes,1
4625,2857,111,12,No,1
2895,0,95,360,Yes,1
6283,4416,209,360,No,0
645,3683,113,480,Yes,1
3159,0,100,360,Yes,1
4865,5624,208,360,Yes,1
4050,5302,138,360,No,0
3814,1483,124,300,Yes,1
3510,4416,243,360,Yes,1
20833,6667,480,360,No,1
3583,0,96,360,Yes,0
2479,3013,188,360,Yes,1
13262,0,40,360,Yes,1
3598,1287,100,360,Yes,0
6065,2004,250,360,Yes,1
3283,2035,148,360,Yes,1
2130,6666,70,180,Yes,0
5815,3666,311,360,Yes,0
3466,3428,150,360,Yes,1
2031,1632,113,480,Yes,1
3074,1800,123,360,No,0
4683,1915,185,360,Yes,0
3400,0,95,360,Yes,0
2192,1742,45,360,Yes,1
2500,0,55,360,Yes,1
5677,1424,100,360,Yes,1
7948,7166,480,360,Yes,1
4680,2087,0,360,Yes,0
17500,0,400,360,Yes,1
3775,0,110,360,Yes,1
5285,1430,161,360,No,1
2679,1302,94,360,Yes,1
6783,0,130,360,Yes,1
1025,5500,216,360,No,1
4281,0,100,360,Yes,1
3588,0,110,360,No,0
11250,0,196,360,No,0
18165,0,125,360,Yes,1
2550,2042,126,360,Yes,1
6133,3906,324,360,Yes,1
3617,0,107,360,Yes,1
2917,536,66,360,Yes,0
6417,0,157,180,Yes,1
4608,2845,140,180,Yes,1
2138,0,99,360,No,0
3652,0,95,360,Yes,1
2239,2524,128,360,Yes,1
3017,663,102,360,No,1
2768,1950,155,360,Yes,1
3358,0,80,36,Yes,0
2526,1783,145,360,Yes,1
5000,0,103,360,No,0
2785,2016,110,360,Yes,1
6633,0,0,360,No,0
2492,2375,0,360,Yes,1
3333,3250,158,360,Yes,1
2454,2333,181,360,No,0
3593,4266,132,180,No,0
5468,1032,26,360,Yes,1
2667,1625,84,360,No,1
10139,0,260,360,Yes,1
3887,2669,162,360,Yes,1
4180,2306,182,360,Yes,1
3675,242,108,360,Yes,1
19484,0,600,360,Yes,1
5923,2054,211,360,Yes,1
5800,0,132,360,Yes,1
8799,0,258,360,No,0
4467,0,120,360,No,1
3333,0,70,360,Yes,1
3400,2500,123,360,No,0
2378,0,9,360,Yes,0
3166,2064,104,360,No,0
3417,1750,186,360,Yes,1
5116,1451,165,360,No,0
16666,0,275,360,Yes,1
6125,1625,187,480,Yes,0
6406,0,150,360,Yes,0
3159,461,108,84,Yes,1
3087,2210,136,360,No,0
3229,2739,110,360,Yes,1
1782,2232,107,360,Yes,1
3182,2917,161,360,Yes,1
6540,0,205,360,Yes,1
1836,33837,90,360,Yes,0
3166,0,36,360,Yes,1
1880,0,61,360,No,0
2787,1917,146,360,No,0
4283,3000,172,84,Yes,0
2297,1522,104,360,Yes,1
2165,0,70,360,Yes,1
4750,0,94,360,Yes,1
2726,0,106,360,No,0
3000,3416,56,180,Yes,1
6000,0,205,240,Yes,0
9357,0,292,360,Yes,1
3859,3300,142,180,Yes,1
16120,0,260,360,Yes,1
3833,0,110,360,Yes,1
6383,1000,187,360,Yes,0
2987,0,88,360,No,0
9963,0,180,360,Yes,1
5780,0,192,360,Yes,1
416,41667,350,180,No,0
2894,2792,155,360,Yes,1
5703,0,128,360,Yes,1
3676,4301,172,360,Yes,1
12000,0,496,360,Yes,1
2400,3800,0,180,Yes,0
3400,2500,173,360,Yes,1
3987,1411,157,360,Yes,1
3232,1950,108,360,Yes,1
2900,0,71,360,Yes,1
4106,0,40,180,Yes,1
8072,240,253,360,Yes,1
7583,0,187,360,Yes,1
4583,0,133,360,No,0
