0,1,2,3,4,5,6
Bread,Wine,Eggs,Meat,Cheese,Pencil,Diaper
Bread,Cheese,Meat,Diaper,Wine,Milk,Pencil
Cheese,Meat,Eggs,Milk,Wine,,
Cheese,Meat,Eggs,Milk,Wine,,
Meat,Pencil,Wine,,,,
Eggs,Bread,Wine,Pencil,Milk,Diaper,Bagel
Wine,Pencil,Eggs,Cheese,,,
Bagel,Bread,Milk,Pencil,Diaper,,
Bread,Diaper,Cheese,Milk,Wine,Eggs,
Bagel,Wine,Diaper,Meat,Pencil,Eggs,Cheese
Cheese,Meat,Eggs,Milk,Wine,,
Bagel,Eggs,Meat,Bread,Diaper,Wine,Milk
Bread,Diaper,Pencil,Bagel,Meat,,
Bagel,Cheese,Milk,Meat,,,
Bread,,,,,,
Pencil,Diaper,Bagel,,,,
Meat,Bagel,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Cheese,Meat,Bread,Diaper,Eggs,
Meat,Pencil,Cheese,Bread,,,
Cheese,Eggs,Wine,Bread,Milk,Pencil,Meat
Eggs,Bagel,Cheese,Meat,Diaper,,
Diaper,Wine,Eggs,Pencil,Meat,,
Diaper,Meat,Milk,Bread,Bagel,Cheese,
Pencil,,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Diaper,Meat,Bread,Pencil,Wine,Cheese,Milk
Bread,Bagel,,,,,
Meat,Bread,Eggs,Cheese,Milk,Diaper,
Diaper,Meat,,,,,
Cheese,Bagel,Bread,Diaper,Wine,,
Cheese,Milk,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,Bread,Wine,Meat,Bagel,,
Bread,Cheese,Milk,Wine,Diaper,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Eggs,,,,,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Meat,,,,,,
Eggs,Wine,Milk,Cheese,Pencil,Bagel,Bread
Bagel,Eggs,,,,,
Diaper,Wine,Meat,,,,
Diaper,Bread,Bagel,Eggs,Wine,Milk,Cheese
Cheese,Meat,Eggs,Milk,,,
Eggs,Wine,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Wine,Milk,,,,,
Diaper,,,,,,
Wine,Bread,Bagel,Diaper,Milk,,
Cheese,Meat,Eggs,Milk,Wine,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Meat,Wine,Bread,,
Wine,Milk,Diaper,Pencil,Cheese,Eggs,
Cheese,Eggs,Meat,Diaper,Wine,Milk,Bread
Diaper,Eggs,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Wine,Cheese,Bagel,Pencil,Bread,Meat,Diaper
Milk,Pencil,Cheese,Bagel,,,
Meat,Cheese,Diaper,Wine,,,
Bread,Bagel,Milk,,,,
Bread,Meat,Pencil,Milk,Wine,Diaper,
Pencil,Cheese,Diaper,Wine,Eggs,,
Bread,Diaper,Milk,Pencil,Cheese,Eggs,
Pencil,Milk,Cheese,,,,
Eggs,Bagel,Bread,,,,
Diaper,Bread,Cheese,Bagel,Meat,Pencil,
Bread,Bagel,Milk,Diaper,,,
Eggs,Bread,,,,,
Pencil,Milk,Diaper,Eggs,,,
Pencil,Milk,Meat,Cheese,,,
Bagel,Bread,Diaper,Cheese,Meat,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Meat,Eggs,Milk,,,
Bread,Wine,Eggs,Bagel,Cheese,Pencil,Diaper
Diaper,,,,,,
Cheese,Meat,Eggs,Milk,,,
Milk,,,,,,
Bread,Pencil,,,,,
Wine,Milk,Cheese,,,,
Cheese,Bagel,,,,,
Pencil,Diaper,Wine,,,,
Eggs,Meat,Cheese,,,,
Meat,Bagel,Pencil,,,,
Meat,Eggs,Bagel,Cheese,Wine,,
Bread,Cheese,Wine,Bagel,Milk,Meat,
Meat,Cheese,Pencil,Wine,Bread,,
Milk,Cheese,Wine,Bagel,Meat,Pencil,Bread
Pencil,Cheese,Wine,Milk,Diaper,Bagel,
Bread,Bagel,Milk,,,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Pencil,Bagel,Wine,Meat,Eggs
Eggs,Meat,Wine,Bagel,Milk,Cheese,Diaper
Meat,,,,,,
Bread,Bagel,Milk,,,,
Pencil,,,,,,
Wine,Diaper,Bread,Cheese,,,
Bagel,Pencil,Wine,Meat,,,
Wine,Bread,,,,,
Bread,Milk,Eggs,Cheese,Wine,Pencil,
Cheese,Milk,Meat,Eggs,Bagel,,
Cheese,Meat,Eggs,Milk,,,
Diaper,Wine,Meat,Eggs,,,
Meat,Diaper,,,,,
Pencil,Wine,Bread,Milk,,,
Bagel,Bread,Eggs,Milk,Pencil,Meat,Wine
Milk,Cheese,Wine,Meat,Bagel,Diaper,Bread
Bagel,Diaper,Milk,Cheese,Wine,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Pencil,Bread,Cheese,Eggs,,
Bread,Eggs,Cheese,,,,
Meat,Milk,Pencil,,,,
Bread,Cheese,Eggs,Meat,Pencil,Diaper,Wine
Meat,Cheese,,,,,
Eggs,Wine,Bagel,Bread,Meat,,
Bagel,Cheese,,,,,
Bagel,Pencil,Diaper,Wine,Meat,,
Milk,Pencil,,,,,
Pencil,Wine,Bagel,Eggs,Diaper,,
Bread,Meat,Milk,Cheese,Wine,Eggs,Pencil
Bread,Bagel,Milk,,,,
Pencil,Bread,,,,,
Eggs,Milk,Bagel,Wine,,,
Cheese,Pencil,Meat,Eggs,Milk,Bagel,Wine
Cheese,Milk,,,,,
Diaper,Pencil,Milk,Bread,,,
Bread,Bagel,Milk,,,,
Cheese,Meat,Eggs,Milk,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Meat,Bread,Wine,Diaper,Bagel,,
Bagel,,,,,,
Wine,Diaper,,,,,
Meat,Diaper,Eggs,Cheese,Bagel,,
Bread,Pencil,Bagel,Eggs,,,
Milk,Eggs,Meat,Cheese,Bread,Wine,Pencil
Pencil,Eggs,Meat,,,,
Pencil,Bagel,,,,,
Bread,Bagel,Meat,Cheese,Eggs,Pencil,
Milk,Eggs,Bread,Cheese,,,
Milk,,,,,,
Pencil,Meat,Bread,Bagel,Cheese,,
Wine,Eggs,Bread,Diaper,,,
Meat,Cheese,Eggs,Bagel,Wine,Bread,
Meat,Cheese,Bread,Milk,,,
Cheese,Milk,Pencil,Eggs,Bread,Meat,
Bread,,,,,,
Bread,Eggs,Bagel,Diaper,Milk,Meat,Pencil
Milk,Diaper,,,,,
Cheese,Eggs,Meat,Wine,Bagel,Diaper,Bread
Diaper,Bagel,Bread,Pencil,Cheese,Milk,
Diaper,,,,,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Wine,Meat,Bagel,,,
Cheese,Diaper,Eggs,Milk,,,
Wine,Cheese,Meat,Pencil,Eggs,,
Eggs,Bagel,Pencil,Wine,Cheese,,
Bagel,Diaper,,,,,
Meat,,,,,,
Bread,Eggs,Wine,,,,
Bread,Milk,Pencil,Wine,Eggs,Bagel,
Milk,Bread,Bagel,,,,
Bagel,Eggs,,,,,
Wine,Cheese,Milk,Meat,Bread,Eggs,
Meat,Wine,,,,,
Wine,Bread,,,,,
Meat,Eggs,,,,,
Bagel,Milk,Wine,Pencil,Cheese,,
Cheese,Meat,Eggs,Milk,,,
Bread,Diaper,Pencil,Bagel,Cheese,,
Bread,Pencil,Diaper,Cheese,,,
Cheese,Meat,Eggs,Milk,,,
Eggs,Bagel,Meat,Diaper,Pencil,Milk,Bread
Bread,Bagel,Milk,,,,
Diaper,Meat,Wine,Pencil,Bread,,
Eggs,Cheese,,,,,
Cheese,Pencil,Wine,,,,
Eggs,,,,,,
Pencil,Milk,Eggs,,,,
Bagel,Cheese,Eggs,Milk,Meat,Pencil,Bread
Bagel,Diaper,Pencil,Milk,Meat,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Bread,Wine,,,,
Bread,Cheese,Milk,Diaper,Pencil,,
Milk,Pencil,Bagel,Wine,Eggs,Meat,
Wine,Milk,Eggs,Bread,Meat,,
Bread,,,,,,
Bread,Diaper,Pencil,Meat,Wine,,
Cheese,Pencil,,,,,
Bread,Diaper,,,,,
Bagel,Diaper,Wine,Bread,,,
Wine,Bread,Diaper,,,,
Bread,Bagel,Milk,,,,
Diaper,Bagel,,,,,
Bread,Meat,Pencil,Eggs,Cheese,Milk,Wine
Bread,Wine,Diaper,Eggs,Pencil,,
Bread,Wine,Diaper,Eggs,Pencil,,
Bread,Wine,Diaper,,,,
Bread,Wine,Diaper,Eggs,,,
Bread,Wine,Diaper,Eggs,Pencil,Milk,
Wine,Pencil,Eggs,Cheese,,,
Bagel,Bread,Milk,Pencil,Diaper,,
Bread,Diaper,Cheese,Milk,Wine,Eggs,
Bagel,Wine,Diaper,Meat,Pencil,Eggs,Cheese
Cheese,Meat,Eggs,Milk,Wine,,
Bagel,Eggs,Meat,Bread,Diaper,Wine,Milk
Bread,Diaper,Pencil,Bagel,Meat,,
Bagel,Cheese,Milk,Meat,,,
Bread,,,,,,
Pencil,Diaper,Bagel,,,,
Meat,Bagel,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Cheese,Meat,Bread,Diaper,Eggs,
Meat,Pencil,Cheese,Bread,,,
Cheese,Eggs,Wine,Bread,Milk,Pencil,Meat
Eggs,Bagel,Cheese,Meat,Diaper,,
Diaper,Wine,Eggs,Pencil,Meat,,
Diaper,Meat,Milk,Bread,Bagel,Cheese,
Pencil,,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Diaper,Meat,Bread,Pencil,Wine,Cheese,Milk
Bread,Bagel,,,,,
Meat,Bread,Eggs,Cheese,Milk,Diaper,
Diaper,Meat,,,,,
Cheese,Bagel,Bread,Diaper,Wine,,
Cheese,Milk,Bread,,,,
Bread,Bagel,Milk,,,,
Diaper,Bread,Wine,Meat,Bagel,,
Bread,Cheese,Milk,Wine,Diaper,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Eggs,,,,,,
Bread,Bagel,Milk,,,,
Bread,Bagel,Milk,,,,
Meat,,,,,,
Eggs,Wine,Milk,Cheese,Pencil,Bagel,Bread
Bagel,Eggs,,,,,
Diaper,Wine,Meat,,,,
Diaper,Bread,Bagel,Eggs,Wine,Milk,Cheese
Cheese,Meat,Eggs,Milk,,,
Eggs,Wine,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Wine,Milk,,,,,
Diaper,,,,,,
Wine,Bread,Bagel,Diaper,Milk,,
Cheese,Meat,Eggs,Milk,Wine,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Meat,Wine,Bread,,
Wine,Milk,Diaper,Pencil,Cheese,Eggs,
Cheese,Eggs,Meat,Diaper,Wine,Milk,Bread
Diaper,Eggs,,,,,
Cheese,Meat,Eggs,Milk,Wine,,
Wine,Cheese,Bagel,Pencil,Bread,Meat,Diaper
Milk,Pencil,Cheese,Bagel,,,
Meat,Cheese,Diaper,Wine,,,
Bread,Bagel,Milk,,,,
Bread,Meat,Pencil,Milk,Wine,Diaper,
Pencil,Cheese,Diaper,Wine,Eggs,,
Bread,Diaper,Milk,Pencil,Cheese,Eggs,
Pencil,Milk,Cheese,,,,
Eggs,Bagel,Bread,,,,
Diaper,Bread,Cheese,Bagel,Meat,Pencil,
Bread,Bagel,Milk,Diaper,,,
Eggs,Bread,,,,,
Pencil,Milk,Diaper,Eggs,,,
Pencil,Milk,Meat,Cheese,,,
Bagel,Bread,Diaper,Cheese,Meat,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Meat,Eggs,Milk,,,
Bread,Wine,Eggs,Bagel,Cheese,Pencil,Diaper
Diaper,,,,,,
Cheese,Meat,Eggs,Milk,,,
Milk,,,,,,
Bread,Pencil,,,,,
Wine,Milk,Cheese,,,,
Cheese,Bagel,,,,,
Pencil,Diaper,Wine,,,,
Eggs,Meat,Cheese,,,,
Meat,Bagel,Pencil,,,,
Meat,Eggs,Bagel,Cheese,Wine,,
Bread,Cheese,Wine,Bagel,Milk,Meat,
Meat,Cheese,Pencil,Wine,Bread,,
Milk,Cheese,Wine,Bagel,Meat,Pencil,Bread
Pencil,Cheese,Wine,Milk,Diaper,Bagel,
Bread,Bagel,Milk,,,,
Cheese,Meat,Eggs,Milk,,,
Cheese,Diaper,Pencil,Bagel,Wine,Meat,Eggs
Eggs,Meat,Wine,Bagel,Milk,Cheese,Diaper
Meat,,,,,,
Bread,Bagel,Milk,,,,
Pencil,,,,,,
Wine,Diaper,Bread,Cheese,,,
Bagel,Pencil,Wine,Meat,,,
Wine,Bread,,,,,
Bread,Milk,Eggs,Cheese,Wine,Pencil,
Cheese,Milk,Meat,Eggs,Bagel,,
Cheese,Meat,Eggs,Milk,,,
Diaper,Wine,Meat,Eggs,,,
Meat,Diaper,,,,,
Pencil,Wine,Bread,Milk,,,
Bagel,Bread,Eggs,Milk,Pencil,Meat,Wine
Milk,Cheese,Wine,Meat,Bagel,Diaper,Bread
Bagel,Diaper,Milk,Cheese,Wine,,
Bread,Bagel,Milk,,,,
Diaper,,,,,,
Bagel,Pencil,Bread,Cheese,Eggs,,
Bread,Eggs,Cheese,,,,
Meat,Milk,Pencil,,,,
Bread,Cheese,Eggs,Meat,Pencil,Diaper,Wine
Meat,Cheese,,,,,
Eggs,Wine,Bagel,Bread,Meat,,
