Id,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
447,1,0,34.0,0,0,26.55,1
448,3,1,5.0,2,1,19.2583,0
449,1,0,52.0,0,0,30.5,1
450,2,0,36.0,1,2,27.75,1
451,3,0,36.0,1,0,19.9667,1
452,1,0,30.0,0,0,27.75,0
453,1,0,49.0,1,0,89.1042,0
454,3,0,36.0,0,0,8.05,1
455,3,0,29.0,0,0,7.8958,0
456,1,0,65.0,0,0,26.55,1
457,1,1,22.0,1,0,51.8625,1
458,2,1,50.0,0,0,10.5,1
459,3,0,38.0,0,0,7.75,2
460,1,0,48.0,0,0,26.55,1
461,3,0,34.0,0,0,8.05,1
462,1,0,47.0,0,0,38.5,1
463,2,0,48.0,0,0,13.0,1
464,3,0,30.0,0,0,8.05,1
465,3,0,38.0,0,0,7.05,1
466,2,0,35.0,0,0,0.0,1
467,1,0,56.0,0,0,26.55,1
468,3,0,23.0,0,0,7.725,2
469,3,1,0.75,2,1,19.2583,0
470,3,0,36.0,0,0,7.25,1
471,3,0,38.0,0,0,8.6625,1
472,2,1,33.0,1,2,27.75,1
473,2,1,23.0,0,0,13.7917,0
474,3,1,22.0,0,0,9.8375,1
475,1,0,36.0,0,0,52.0,1
476,2,0,34.0,1,0,21.0,1
477,3,0,29.0,1,0,7.0458,1
478,3,0,22.0,0,0,7.5208,1
479,3,1,2.0,0,1,12.2875,1
480,3,0,9.0,5,2,46.9,1
481,2,0,33.0,0,0,0.0,1
482,3,0,50.0,0,0,8.05,1
483,3,1,63.0,0,0,9.5875,1
484,1,0,25.0,1,0,91.0792,0
485,3,1,18.0,3,1,25.4667,1
486,1,1,35.0,1,0,90.0,1
487,1,0,58.0,0,0,29.7,0
488,3,0,30.0,0,0,8.05,1
489,3,0,9.0,1,1,15.9,1
490,3,0,32.0,1,0,19.9667,1
491,3,0,21.0,0,0,7.25,1
492,1,0,55.0,0,0,30.5,1
493,1,0,71.0,0,0,49.5042,0
494,3,0,21.0,0,0,8.05,1
495,3,0,26.0,0,0,14.4583,0
496,1,1,54.0,1,0,78.2667,0
497,3,0,28.0,0,0,15.1,1
498,1,1,25.0,1,2,151.55,1
499,3,0,24.0,0,0,7.7958,1
500,3,0,17.0,0,0,8.6625,1
501,3,1,21.0,0,0,7.75,2
502,3,1,25.0,0,0,7.6292,2
503,3,1,37.0,0,0,9.5875,1
504,1,1,16.0,0,0,86.5,1
505,1,0,18.0,1,0,108.9,0
506,2,1,33.0,0,2,26.0,1
507,1,0,35.0,0,0,26.55,1
508,3,0,28.0,0,0,22.525,1
509,3,0,26.0,0,0,56.4958,1
510,3,0,29.0,0,0,7.75,2
511,3,0,18.0,0,0,8.05,1
512,1,0,36.0,0,0,26.2875,1
513,1,1,54.0,1,0,59.4,0
514,3,0,24.0,0,0,7.4958,1
515,1,0,47.0,0,0,34.0208,1
516,2,1,34.0,0,0,10.5,1
517,3,0,33.0,0,0,24.15,2
518,2,1,36.0,1,0,26.0,1
519,3,0,32.0,0,0,7.8958,1
520,1,1,30.0,0,0,93.5,1
521,3,0,22.0,0,0,7.8958,1
522,3,0,25.0,0,0,7.225,0
523,1,1,44.0,0,1,57.9792,0
524,3,0,37.0,0,0,7.2292,0
525,3,0,40.5,0,0,7.75,2
526,2,1,50.0,0,0,10.5,1
527,1,0,33.0,0,0,221.7792,1
528,3,0,39.0,0,0,7.925,1
529,2,0,23.0,2,1,11.5,1
530,2,1,2.0,1,1,26.0,1
531,3,0,28.0,0,0,7.2292,0
532,3,0,17.0,1,1,7.2292,0
533,3,1,31.0,0,2,22.3583,0
534,3,1,30.0,0,0,8.6625,1
535,2,1,7.0,0,2,26.25,1
536,1,0,45.0,0,0,26.55,1
537,1,1,30.0,0,0,106.425,0
538,3,0,35.0,0,0,14.5,1
539,1,1,22.0,0,2,49.5,0
540,1,1,36.0,0,2,71.0,1
541,3,1,9.0,4,2,31.275,1
542,3,1,11.0,4,2,31.275,1
543,2,0,32.0,1,0,26.0,1
544,1,0,50.0,1,0,106.425,0
545,1,0,64.0,0,0,26.0,1
546,2,1,19.0,1,0,26.0,1
547,2,0,26.0,0,0,13.8625,0
548,3,0,33.0,1,1,20.525,1
549,2,0,8.0,1,1,36.75,1
550,1,0,17.0,0,2,110.8833,0
551,2,0,27.0,0,0,26.0,1
552,3,0,18.0,0,0,7.8292,2
553,3,0,22.0,0,0,7.225,0
554,3,1,22.0,0,0,7.775,1
555,1,0,62.0,0,0,26.55,1
556,1,1,48.0,1,0,39.6,0
557,1,0,20.0,0,0,227.525,0
558,1,1,39.0,1,1,79.65,1
559,3,1,36.0,1,0,17.4,1
560,3,0,23.0,0,0,7.75,2
561,3,0,40.0,0,0,7.8958,1
562,2,0,28.0,0,0,13.5,1
563,3,0,31.0,0,0,8.05,1
564,3,1,20.0,0,0,8.05,1
565,3,0,24.0,2,0,24.15,1
566,3,0,19.0,0,0,7.8958,1
567,3,1,29.0,0,4,21.075,1
568,3,0,31.0,0,0,7.2292,0
569,3,0,32.0,0,0,7.8542,1
570,2,0,62.0,0,0,10.5,1
571,1,1,53.0,2,0,51.4792,1
572,1,0,36.0,0,0,26.3875,1
573,3,1,32.0,0,0,7.75,2
574,3,0,16.0,0,0,8.05,1
575,3,0,19.0,0,0,14.5,1
576,2,1,34.0,0,0,13.0,1
577,1,1,39.0,1,0,55.9,1
578,3,1,34.0,1,0,14.4583,0
579,3,0,32.0,0,0,7.925,1
580,2,1,25.0,1,1,30.0,1
581,1,1,39.0,1,1,110.8833,0
582,2,0,54.0,0,0,26.0,1
583,1,0,36.0,0,0,40.125,0
584,3,0,25.0,0,0,8.7125,0
585,1,1,18.0,0,2,79.65,1
586,2,0,47.0,0,0,15.0,1
587,1,0,60.0,1,1,79.2,0
588,3,0,22.0,0,0,8.05,1
589,3,0,33.0,0,0,8.05,1
590,3,0,35.0,0,0,7.125,1
591,1,1,52.0,1,0,78.2667,0
592,3,0,47.0,0,0,7.25,1
593,3,1,39.0,0,2,7.75,2
594,2,0,37.0,1,0,26.0,1
595,3,0,36.0,1,1,24.15,1
596,2,1,38.0,0,0,33.0,1
597,3,0,49.0,0,0,0.0,1
598,3,0,26.0,0,0,7.225,0
599,1,0,49.0,1,0,56.9292,0
600,2,1,24.0,2,1,27.0,1
601,3,0,26.0,0,0,7.8958,1
602,1,0,34.0,0,0,42.4,1
603,3,0,44.0,0,0,8.05,1
604,1,0,35.0,0,0,26.55,0
605,3,0,36.0,1,0,15.55,1
606,3,0,30.0,0,0,7.8958,1
607,1,0,27.0,0,0,30.5,1
608,2,1,22.0,1,2,41.5792,0
609,1,1,40.0,0,0,153.4625,1
610,3,1,39.0,1,5,31.275,1
611,3,0,26.0,0,0,7.05,1
612,3,1,38.0,1,0,15.5,2
613,3,0,25.0,0,0,7.75,2
614,3,0,35.0,0,0,8.05,1
615,2,1,24.0,1,2,65.0,1
616,3,0,34.0,1,1,14.4,1
617,3,1,26.0,1,0,16.1,1
618,2,1,4.0,2,1,39.0,1
619,2,0,26.0,0,0,10.5,1
620,3,0,27.0,1,0,14.4542,0
621,1,0,42.0,1,0,52.5542,1
622,3,0,20.0,1,1,15.7417,0
623,3,0,21.0,0,0,7.8542,1
624,3,0,21.0,0,0,16.1,1
625,1,0,61.0,0,0,32.3208,1
626,2,0,57.0,0,0,12.35,2
627,1,1,21.0,0,0,77.9583,1
628,3,0,26.0,0,0,7.8958,1
629,3,0,26.0,0,0,7.7333,2
630,1,0,80.0,0,0,30.0,1
631,3,0,51.0,0,0,7.0542,1
632,1,0,32.0,0,0,30.5,0
633,1,0,24.0,0,0,0.0,1
634,3,1,9.0,3,2,27.9,1
635,2,1,28.0,0,0,13.0,1
636,3,0,32.0,0,0,7.925,1
637,2,0,31.0,1,1,26.25,1
638,3,1,41.0,0,5,39.6875,1
639,3,0,21.0,1,0,16.1,1
640,3,0,20.0,0,0,7.8542,1
641,1,1,24.0,0,0,69.3,0
642,3,1,2.0,3,2,27.9,1
643,3,0,23.0,0,0,56.4958,1
644,3,1,0.75,2,1,19.2583,0
645,1,0,48.0,1,0,76.7292,0
646,3,0,19.0,0,0,7.8958,1
647,1,0,56.0,0,0,35.5,0
648,3,0,34.0,0,0,7.55,1
649,3,1,23.0,0,0,7.55,1
650,3,0,19.0,0,0,7.8958,1
651,2,1,18.0,0,1,23.0,1
652,3,0,21.0,0,0,8.4333,1
653,3,1,32.0,0,0,7.8292,2
654,3,1,18.0,0,0,6.75,2
655,2,0,24.0,2,0,73.5,1
656,3,0,39.0,0,0,7.8958,1
657,3,1,32.0,1,1,15.5,2
658,2,0,23.0,0,0,13.0,1
659,1,0,58.0,0,2,113.275,0
660,1,0,50.0,2,0,133.65,1
661,3,0,40.0,0,0,7.225,0
662,1,0,47.0,0,0,25.5875,1
663,3,0,36.0,0,0,7.4958,1
664,3,0,20.0,1,0,7.925,1
665,2,0,32.0,2,0,73.5,1
666,2,0,25.0,0,0,13.0,1
667,3,0,27.0,0,0,7.775,1
668,3,0,43.0,0,0,8.05,1
669,1,1,37.0,1,0,52.0,1
670,2,1,40.0,1,1,39.0,1
671,1,0,31.0,1,0,52.0,1
672,2,0,70.0,0,0,10.5,1
673,2,0,31.0,0,0,13.0,1
674,2,0,37.0,0,0,0.0,1
675,3,0,18.0,0,0,7.775,1
676,3,0,24.5,0,0,8.05,1
677,3,1,18.0,0,0,9.8417,1
678,3,1,43.0,1,6,46.9,1
679,1,0,36.0,0,1,512.3292,0
680,3,1,30.0,0,0,8.1375,2
681,1,0,27.0,0,0,76.7292,0
682,3,0,20.0,0,0,9.225,1
683,3,0,14.0,5,2,46.9,1
684,2,0,60.0,1,1,39.0,1
685,2,0,25.0,1,2,41.5792,0
686,3,0,14.0,4,1,39.6875,1
687,3,0,19.0,0,0,10.1708,1
688,3,0,18.0,0,0,7.7958,1
689,1,1,15.0,0,1,211.3375,1
690,1,0,31.0,1,0,57.0,1
691,3,1,4.0,0,1,13.4167,0
692,3,0,18.0,0,0,56.4958,1
693,3,0,25.0,0,0,7.225,0
694,1,0,60.0,0,0,26.55,1
695,2,0,52.0,0,0,13.5,1
696,3,0,44.0,0,0,8.05,1
697,3,1,28.0,0,0,7.7333,2
698,1,0,49.0,1,1,110.8833,0
699,3,0,42.0,0,0,7.65,1
700,1,1,18.0,1,0,227.525,0
701,1,0,35.0,0,0,26.2875,1
702,3,1,18.0,0,1,14.4542,0
703,3,0,25.0,0,0,7.7417,2
704,3,0,26.0,1,0,7.8542,1
705,2,0,39.0,0,0,26.0,1
706,2,1,45.0,0,0,13.5,1
707,1,0,42.0,0,0,26.2875,1
708,1,1,22.0,0,0,151.55,1
709,3,0,31.0,1,1,15.2458,0
710,1,1,24.0,0,0,49.5042,0
711,1,0,33.0,0,0,26.55,1
712,1,0,48.0,1,0,52.0,1
713,3,0,29.0,0,0,9.4833,1
714,2,0,52.0,0,0,13.0,1
715,3,0,19.0,0,0,7.65,1
716,1,1,38.0,0,0,227.525,0
717,2,1,27.0,0,0,10.5,1
718,3,0,35.0,0,0,15.5,2
719,3,0,33.0,0,0,7.775,1
720,2,1,6.0,0,1,33.0,1
721,3,0,17.0,1,0,7.0542,1
722,2,0,34.0,0,0,13.0,1
723,2,0,50.0,0,0,13.0,1
724,1,0,27.0,1,0,53.1,1
725,3,0,20.0,0,0,8.6625,1
726,2,1,30.0,3,0,21.0,1
727,3,1,36.0,0,0,7.7375,2
728,2,0,25.0,1,0,26.0,1
729,3,1,25.0,1,0,7.925,1
730,1,1,29.0,0,0,211.3375,1
731,3,0,11.0,0,0,18.7875,0
732,2,0,27.0,0,0,0.0,1
733,2,0,23.0,0,0,13.0,1
734,2,0,23.0,0,0,13.0,1
735,3,0,28.5,0,0,16.1,1
736,3,1,48.0,1,3,34.375,1
737,1,0,35.0,0,0,512.3292,0
738,3,0,30.0,0,0,7.8958,1
739,3,0,34.0,0,0,7.8958,1
740,1,0,27.0,0,0,30.0,1
741,1,0,36.0,1,0,78.85,1
742,1,1,21.0,2,2,262.375,0
743,3,0,24.0,1,0,16.1,1
744,3,0,31.0,0,0,7.925,1
745,1,0,70.0,1,1,71.0,1
746,3,0,16.0,1,1,20.25,1
747,2,1,30.0,0,0,13.0,1
748,1,0,19.0,1,0,53.1,1
749,3,0,31.0,0,0,7.75,2
750,2,1,4.0,1,1,23.0,1
751,3,0,6.0,0,1,12.475,1
752,3,0,33.0,0,0,9.5,1
753,3,0,23.0,0,0,7.8958,1
754,2,1,48.0,1,2,65.0,1
755,2,0,0.67,1,1,14.5,1
756,3,0,28.0,0,0,7.7958,1
757,2,0,18.0,0,0,11.5,1
758,3,0,34.0,0,0,8.05,1
759,1,1,33.0,0,0,86.5,1
760,3,0,26.0,0,0,14.5,1
761,3,0,41.0,0,0,7.125,1
762,3,0,20.0,0,0,7.2292,0
763,1,1,36.0,1,2,120.0,1
764,3,0,16.0,0,0,7.775,1
765,1,1,51.0,1,0,77.9583,1
766,1,0,20.0,0,0,39.6,0
767,3,1,30.5,0,0,7.75,2
768,3,0,25.0,1,0,24.15,2
769,3,0,32.0,0,0,8.3625,1
770,3,0,24.0,0,0,9.5,1
771,3,0,48.0,0,0,7.8542,1
772,2,1,57.0,0,0,10.5,1
773,3,0,18.0,0,0,7.225,0
774,2,1,54.0,1,3,23.0,1
775,3,0,18.0,0,0,7.75,1
776,3,0,22.0,0,0,7.75,2
777,3,1,5.0,0,0,12.475,1
778,3,0,31.0,0,0,7.7375,2
779,1,1,43.0,0,1,211.3375,1
780,3,1,13.0,0,0,7.2292,0
781,1,1,17.0,1,0,57.0,1
782,1,0,29.0,0,0,30.0,1
783,3,0,36.0,1,2,23.45,1
784,3,0,25.0,0,0,7.05,1
785,3,0,25.0,0,0,7.25,1
786,3,1,18.0,0,0,7.4958,1
787,3,0,8.0,4,1,29.125,2
788,3,0,1.0,1,2,20.575,1
789,1,0,46.0,0,0,79.2,0
790,3,0,38.0,0,0,7.75,2
791,2,0,16.0,0,0,26.0,1
792,3,1,36.0,8,2,69.55,1
793,1,0,36.0,0,0,30.6958,0
794,3,0,25.0,0,0,7.8958,1
795,2,0,39.0,0,0,13.0,1
796,1,1,49.0,0,0,25.9292,1
797,3,1,31.0,0,0,8.6833,1
798,3,0,30.0,0,0,7.2292,0
799,3,1,30.0,1,1,24.15,1
800,2,0,34.0,0,0,13.0,1
801,2,1,31.0,1,1,26.25,1
802,1,0,11.0,1,2,120.0,1
803,3,0,0.42,0,1,8.5167,0
804,3,0,27.0,0,0,6.975,1
805,3,0,31.0,0,0,7.775,1
806,1,0,39.0,0,0,0.0,1
807,3,1,18.0,0,0,7.775,1
808,2,0,39.0,0,0,13.0,1
809,1,1,33.0,1,0,53.1,1
810,3,0,26.0,0,0,7.8875,1
811,3,0,39.0,0,0,24.15,1
812,2,0,35.0,0,0,10.5,1
813,3,1,6.0,4,2,31.275,1
814,3,0,30.5,0,0,8.05,1
815,1,0,19.0,0,0,0.0,1
816,3,1,23.0,0,0,7.925,1
817,2,0,31.0,1,1,37.0042,0
818,3,0,43.0,0,0,6.45,1
819,3,0,10.0,3,2,27.9,1
820,1,1,52.0,1,1,93.5,1
821,3,0,27.0,0,0,8.6625,1
822,1,0,38.0,0,0,0.0,1
823,3,1,27.0,0,1,12.475,1
824,3,0,2.0,4,1,39.6875,1
825,3,0,25.0,0,0,6.95,2
826,3,0,18.0,0,0,56.4958,1
827,2,0,1.0,0,2,37.0042,0
828,3,0,36.0,0,0,7.75,2
829,1,1,62.0,0,0,80.0,0
830,3,1,15.0,1,0,14.4542,0
831,2,0,0.83,1,1,18.75,1
832,3,0,30.0,0,0,7.2292,0
833,3,0,23.0,0,0,7.8542,1
834,3,0,18.0,0,0,8.3,1
835,1,1,39.0,1,1,83.1583,0
836,3,0,21.0,0,0,8.6625,1
837,3,0,24.0,0,0,8.05,1
838,3,0,32.0,0,0,56.4958,1
839,1,0,36.0,0,0,29.7,0
840,3,0,20.0,0,0,7.925,1
841,2,0,16.0,0,0,10.5,1
842,1,1,30.0,0,0,31.0,0
843,3,0,34.5,0,0,6.4375,0
844,3,0,17.0,0,0,8.6625,1
845,3,0,42.0,0,0,7.55,1
846,3,0,19.0,8,2,69.55,1
847,3,0,35.0,0,0,7.8958,0
848,2,0,28.0,0,1,33.0,1
849,1,1,24.0,1,0,89.1042,0
850,3,0,4.0,4,2,31.275,1
851,3,0,74.0,0,0,7.775,1
852,3,1,9.0,1,1,15.2458,0
853,1,1,16.0,0,1,39.4,1
854,2,1,44.0,1,0,26.0,1
855,3,1,18.0,0,1,9.35,1
856,1,1,45.0,1,1,164.8667,1
857,1,0,51.0,0,0,26.55,1
858,3,1,24.0,0,3,19.2583,0
859,3,0,27.0,0,0,7.2292,0
860,3,0,41.0,2,0,14.1083,1
861,2,0,21.0,1,0,11.5,1
862,1,1,48.0,0,0,25.9292,1
863,3,1,18.0,8,2,69.55,1
864,2,0,24.0,0,0,13.0,1
865,2,1,42.0,0,0,13.0,1
866,2,1,27.0,1,0,13.8583,0
867,1,0,31.0,0,0,50.4958,1
868,3,0,35.0,0,0,9.5,1
869,3,0,4.0,1,1,11.1333,1
870,3,0,26.0,0,0,7.8958,1
871,1,1,47.0,1,1,52.5542,1
872,1,0,33.0,0,0,5.0,1
873,3,0,47.0,0,0,9.0,1
874,2,1,28.0,1,0,24.0,0
875,3,1,15.0,0,0,7.225,0
876,3,0,20.0,0,0,9.8458,1
877,3,0,19.0,0,0,7.8958,1
878,3,0,29.0,0,0,7.8958,1
879,1,1,56.0,0,1,83.1583,0
880,2,1,25.0,0,1,26.0,1
881,3,0,33.0,0,0,7.8958,1
882,3,1,22.0,0,0,10.5167,1
883,2,0,28.0,0,0,10.5,1
884,3,0,25.0,0,0,7.05,1
885,3,1,39.0,0,5,29.125,2
886,2,0,27.0,0,0,13.0,1
887,1,1,19.0,0,0,30.0,1
888,3,1,20.0,1,2,23.45,1
889,1,0,26.0,0,0,30.0,0
890,3,0,32.0,0,0,7.75,2
